Country,Year,Tech Sector,Market Share (%),R&D Investment (in USD),Number of Patents Filed (Annual),Number of Tech Companies,Tech Exports (in USD),Number of Startups,Venture Capital Funding (in USD),Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
Japan,2003,Biotechnology,36.314448097872805,38081485044.309135,9357,344,136133125949.59464,56,2431679962.0387583,1,53.3648966844024,15.92331769381608,152,Robots,470631
China,2007,AI,10.472424552067723,26799779885.7844,9410,810,194185122844.6212,119,23971958644.683964,12,49.96782274812347,88.82392664848379,121,AI Chips,857017
Japan,2008,Robotics,12.08667085071808,92887889770.95949,174,264,156790476256.02164,22,3545333577.69497,5,76.92177133470258,42.783507331535155,118,Robots,551098
Japan,2005,Robotics,38.206481292725165,36203295495.38928,6031,786,58421398310.13282,250,41546827786.05693,7,59.32375621585194,10.912208014026286,94,AI Chips,978375
Japan,2011,Semiconductor,31.19481558973688,39786382883.51134,9229,445,10660945378.021982,131,31184137484.33906,10,53.55413197430988,80.44328932581135,58,Robots,467035
Japan,2012,Software,23.95310959742096,62341789774.97442,5846,430,14489281973.563267,188,42891013294.83,1,68.36286776308125,35.713105902375446,93,AI Chips,19082
China,2010,Software,41.41334100643682,83256694001.20422,3678,1510,11208776108.35796,343,47689794416.4203,16,53.62131044742148,30.29610823838789,142,AI Chips,255499
China,2011,Semiconductor,38.8648342994246,13935233934.658669,7670,767,118304570592.23657,281,14791041517.951664,7,71.67537063841299,31.60877392863125,115,Robots,954288
Japan,2013,AI,43.3969592705319,30655042748.418945,8985,998,151727410954.65048,481,6725381301.590214,15,82.99136768901519,52.02672192756413,199,Semiconductors,530279
China,2005,Robotics,20.272408646511014,28513483091.20967,6136,832,20858882427.39538,242,14270582620.939526,8,69.89155115821362,89.42937548455416,104,Cloud Servers,316305
Japan,2000,Biotechnology,21.329908739856066,49601594422.01632,6771,1115,13062515249.196774,278,19495319925.226685,7,92.39174878355874,55.20354248298436,162,Robots,757319
China,2016,Robotics,32.47621815396225,14071040477.385422,4674,936,148471463550.708,415,24663060760.68837,14,66.47727775828076,22.943808548910418,152,Cloud Servers,692360
Japan,2000,Semiconductor,19.297364333641283,28305763054.19997,4804,1610,180172491765.11703,117,6249074917.302154,5,67.04394887603266,68.58626501282902,155,5G Equipment,88159
China,2011,Cloud Computing,30.768026775875825,74977425783.19382,3274,101,132383793772.31784,290,7536044706.952805,17,56.622600949583635,53.93286474334687,30,Cloud Servers,741690
China,2006,Semiconductor,7.655170716431444,79266875836.35333,6839,467,64257167486.002,348,26446842308.78932,19,70.7658474377073,64.79415227933006,162,Semiconductors,716933
China,2023,Software,34.73987641714067,96831929939.62146,8298,144,101093614340.36217,495,3151512208.494413,13,51.516371888849946,52.95162487040838,72,Semiconductors,375112
Japan,2019,Biotechnology,25.10035841390228,30497597387.773846,5804,513,197585148165.4823,496,37836394396.05554,13,76.4212419342152,25.488024826739366,53,Semiconductors,428291
China,2011,Telecommunications,12.300136050316095,79205287632.49445,3946,1696,36485290783.57145,70,41193044243.25484,9,96.96144113685938,17.763384755947893,74,Robots,248763
China,2000,AI,43.77501458498119,86513050220.01833,9554,1653,196968948926.34152,302,12894336390.809933,7,64.5496791133912,60.009054756914665,82,AI Chips,4415
Japan,2002,Telecommunications,22.58703750406948,89979549272.52519,9465,1352,99879463208.9361,304,33769684546.96307,2,94.1881850127237,70.06597064598324,143,AI Chips,262268
China,2019,Biotechnology,38.44291984474486,69606877638.04706,184,1745,169781923034.5283,141,46748076182.614426,8,69.37157116163158,59.53953063549739,7,Robots,262156
China,2005,AI,9.399372072290879,64012993197.02345,5366,1358,92867517868.82275,172,25440344769.794857,17,52.28810975420603,37.10348286659473,126,AI Chips,739968
Japan,2023,Biotechnology,25.00486443879987,38823241453.628716,4476,333,36953428206.70407,438,36877061951.61247,18,95.64012705630623,38.32937236011389,176,Cloud Servers,118884
China,2010,Biotechnology,26.52683055000434,34325243134.703285,2785,894,59942967946.10342,352,8726029780.542341,3,46.2742464394129,78.31352797593792,148,Semiconductors,112554
China,2021,Telecommunications,28.810038079730496,44070455231.38842,4022,208,43543589539.39428,312,16431711270.967604,9,89.59371344026725,11.6183775030414,168,5G Equipment,582328
China,2018,AI,19.86614374009693,8594026765.490263,9051,1012,133986497831.8461,208,27672190428.22013,3,93.89836888567444,64.57939062894488,103,Semiconductors,19300
Japan,2015,Telecommunications,39.01937631089148,61693222918.47074,1545,1749,122240332204.97491,462,14561075822.887985,13,59.60950296092515,72.24048759391155,187,Robots,322702
China,2004,Telecommunications,33.02296619212876,85147166316.66464,5291,207,79510898321.55003,493,25154950193.65052,17,41.18815597733067,66.25796055310695,99,Cloud Servers,175308
Japan,2005,Robotics,24.062589709711432,1219052808.5343163,1315,507,2230525883.3181868,359,19583465222.811028,1,64.27998971944247,24.265918831908593,104,5G Equipment,182891
China,2005,Robotics,21.323108631408683,4039866631.7841334,9909,1609,45405563609.99582,28,4761097612.553264,2,69.84954887743622,40.180219952599586,148,Semiconductors,719455
Japan,2004,Semiconductor,47.334722121470826,30497031236.20164,7791,407,193891184748.179,194,35655619045.92707,19,74.54517545829663,60.429410388784746,21,Robots,732084
China,2017,Semiconductor,25.732385096737918,76325409208.71602,1247,1205,37612307102.078514,36,44857958156.03456,10,63.786376691266526,48.85991597494285,25,Robots,738530
China,2021,Biotechnology,44.28252262812191,14059639578.634558,7278,367,125048184180.14697,357,37685917938.7537,17,84.3764390166472,81.40982246968896,168,Robots,736102
China,2020,Robotics,20.71745992868046,25446211731.723045,8323,1344,129007413918.74872,249,25191033400.180264,7,79.36104510996552,83.37019999881369,166,5G Equipment,338342
China,2001,Biotechnology,26.02525024758998,17855189340.63463,7899,715,38467087512.90801,467,49738055668.79106,18,53.9224123481272,75.84378749995554,60,Cloud Servers,149534
Japan,2002,Semiconductor,9.871594734060697,21717826060.21909,7437,502,72071633720.53204,368,5591444194.152273,6,91.6782943323649,74.83881302738273,43,5G Equipment,492215
China,2005,Cloud Computing,48.29284744666677,42776026852.699234,6937,1322,3028670100.565714,197,5272284074.614811,6,97.49334042026499,43.44095342729417,81,Cloud Servers,566605
Japan,2014,Telecommunications,6.4120619267768895,43885374606.74161,920,714,185800708056.59122,151,3737513808.941871,2,97.90564978573104,76.4003006451357,105,5G Equipment,827771
China,2004,Cloud Computing,45.58473977216817,50400241997.14658,287,238,168231571110.3844,222,502538976.1770985,5,76.51297533762775,10.07636153050429,165,Cloud Servers,6578
China,2009,AI,18.10035377137291,53932917980.78791,147,903,117292919909.1867,139,30503269540.768547,5,68.87817017450838,81.08806652738677,122,5G Equipment,446909
China,2006,AI,17.019392263600345,38538775388.360954,8388,206,22846464501.436375,409,43650437075.10516,9,43.017139817094346,28.360850197008787,173,Robots,608778
China,2016,Cloud Computing,8.463824221263451,80613131306.32716,8826,171,171529666500.45938,296,29725411536.079826,13,72.94803105431221,51.334042351675826,68,Cloud Servers,890985
China,2016,Semiconductor,30.12735735094942,89626611348.68462,2335,637,102817356234.09332,470,40608775743.673645,12,69.47605728283523,60.11572012839733,59,5G Equipment,510399
China,2009,Robotics,20.47857990689333,33504086578.26751,4660,897,112295288439.01674,167,11384268043.264116,13,48.942186133702386,41.68423778596373,192,AI Chips,526038
China,2004,Software,18.472539950049786,76199011694.50314,6081,196,46862196303.66297,130,11552147909.382294,19,61.14579248482127,64.2375715212128,144,Semiconductors,351729
China,2002,Telecommunications,21.478067613411458,44578850593.05151,3571,143,111248808202.00763,216,47959869041.44296,12,78.21680040964486,31.877336264203578,130,5G Equipment,540942
Japan,2015,AI,31.316391694075723,10689446397.417124,2122,1370,169587619071.73483,267,16732546668.721672,1,63.11746786197111,39.41993065063606,141,AI Chips,185967
Japan,2015,Biotechnology,25.702005533890283,55893378069.09294,9966,1712,35139165944.28324,324,14450186870.623398,1,61.83047090742714,84.21170360301807,35,AI Chips,452622
Japan,2009,Telecommunications,44.21093224386903,91155415842.86522,1981,965,31719113296.23152,319,16163662631.87262,13,71.02223734811088,48.32553258323496,154,Semiconductors,457123
China,2015,Semiconductor,34.490311415121006,11907675668.025398,1571,1604,62021195876.76531,254,19239879959.44958,15,75.49016958050576,17.816286913854917,18,AI Chips,785864
Japan,2003,Software,36.14777277495867,87941710209.63911,3566,400,24141104646.89144,341,25778391897.13756,6,76.10993278850378,31.06703465893328,179,AI Chips,49274
China,2011,Telecommunications,38.13191049319266,59355370898.540115,2293,1933,17490672363.773964,489,34726104424.43857,19,50.346901958299455,61.52568023141821,62,Robots,257509
China,2009,Robotics,7.495367308987144,55417647569.3743,3675,1988,145875477822.1368,297,40828510109.21066,11,93.81532373491413,13.782863874083313,84,AI Chips,600548
Japan,2008,Telecommunications,49.07656584303728,73528531703.37459,9034,289,196958445049.89996,297,15352566463.696575,5,92.93997812061559,35.61821164205193,150,AI Chips,113791
China,2009,Cloud Computing,12.469871668771018,4463726746.095499,9563,554,181197762675.37027,320,10349089446.142607,12,71.7321017937455,43.164173186802756,23,Cloud Servers,80626
China,2017,Biotechnology,12.518349355960652,80134127177.63948,9957,852,9694782157.773228,36,7430846727.362525,9,92.77112965079733,41.74086454960944,189,Robots,400560
China,2017,Software,26.832613884174908,33013248702.68604,8959,84,161048393106.1816,21,20901751805.453342,10,79.92873369129845,72.5649175552171,52,Cloud Servers,663961
Japan,2021,Cloud Computing,14.028476485441189,9214961673.536255,1290,1025,59347206758.21963,78,338886174.6262546,7,85.17191450209411,42.054967988282996,9,Cloud Servers,737750
China,2015,Biotechnology,16.87833035209525,46506824361.89161,416,1750,113792459762.60391,351,24781699060.58232,5,63.76498804089847,34.07930633874281,116,Cloud Servers,296259
Japan,2012,Software,44.09713956278682,7025121831.217274,9728,1197,140825191749.88898,322,47925907965.853134,12,48.16386079068444,77.0845633386553,92,Robots,603947
China,2005,Biotechnology,6.991594385056053,30311925591.62422,9824,687,46213068995.39939,454,44202323175.50085,10,92.0590032480541,56.565568319217185,194,Cloud Servers,986343
China,2013,Robotics,46.07976569867792,16836852666.467072,2745,1846,78480416607.62404,371,36251551350.78158,5,45.40653919890298,31.596416788224502,102,Semiconductors,518078
Japan,2010,Semiconductor,5.7557095702375225,92319861845.94629,1183,1520,140354059093.13437,60,10366942105.254395,11,52.964389375283844,11.192905456900855,94,Semiconductors,548532
China,2009,Telecommunications,13.934442779670409,64128784693.546104,9686,88,179524697073.2199,226,43092248824.09913,2,57.693491450586556,31.83565608386484,13,AI Chips,745045
China,2006,AI,26.52768005399848,63114906289.16388,4812,1680,37268764040.8173,464,44776258582.844475,2,56.52506624262938,85.52893228402132,55,Robots,103279
China,2001,Robotics,20.228292958259452,26979614997.90101,5125,278,59490082438.48301,361,41009114953.55705,18,63.284029800271114,26.25000955576052,91,Semiconductors,669605
Japan,2001,AI,11.873812385317489,24276932101.150646,3591,1151,25001912511.10566,231,658785513.771699,3,50.211078035783814,17.353782535328904,78,Cloud Servers,175525
Japan,2022,AI,12.629815758332029,32991860880.985256,1156,247,187663886843.2688,11,4793199331.584486,18,86.63417174309964,68.4652467237325,112,Robots,770490
Japan,2022,Robotics,6.976044458973384,96685878968.1015,9223,773,32739108912.85425,347,45211239109.43126,12,97.3710250336143,84.84022326436671,1,Semiconductors,67952
Japan,2023,Cloud Computing,37.27151731480594,99958781871.45494,5538,698,61757695247.87726,428,41435293079.69817,3,93.68184985563144,31.198938463424895,178,Robots,414516
China,2003,Robotics,45.34783670826671,54084459558.447075,3522,936,76958642611.83423,200,2371335147.000822,8,82.1670849486854,60.39901147461034,134,Cloud Servers,541482
Japan,2018,AI,6.260761053647403,48220722906.00608,8318,1356,183879336086.76172,371,23884817464.40341,6,83.25438487687704,13.337826549742049,19,Cloud Servers,52428
China,2010,Biotechnology,12.766484978122744,89796128349.11726,285,1654,82701816368.40453,496,20355102732.240715,19,85.07290373037387,57.96079834147743,32,Robots,981542
China,2017,AI,40.205067212799996,60970583691.95257,2646,1716,161130506984.83292,325,11635119864.431574,18,58.97540047164106,56.92920889474851,172,Robots,484115
China,2014,Software,5.643427932991983,43523206902.281334,2818,1249,23468378956.50583,46,48769598332.83416,3,42.29827798858675,61.13743831228625,194,AI Chips,435149
China,2020,Robotics,25.33670784098928,29895174389.77039,7252,1362,183283354766.7667,221,3304612175.591692,15,51.1539670974279,54.94054564971455,5,Cloud Servers,147330
China,2015,Telecommunications,11.412202783066125,99707688039.96387,532,645,176202571207.0363,454,20518217026.12796,14,65.23218234861761,70.30123353718182,166,Cloud Servers,663186
Japan,2012,Biotechnology,17.27636509036102,14829021199.001709,6098,615,59332700706.83442,407,12444240706.94347,17,63.75342968211914,72.81260138915273,45,Cloud Servers,706785
China,2020,Software,26.96347849818796,35783174109.03709,8100,960,6484737670.390206,447,33514028926.806458,16,68.087887319239,43.65909948044923,44,AI Chips,101836
Japan,2002,AI,33.578677915623146,83165996737.89122,4919,1984,118758820100.57707,156,49917083001.468315,2,66.9005573113835,76.39286687003224,136,Semiconductors,54839
Japan,2019,Semiconductor,9.156634340485493,55706149651.38493,9954,94,24073712036.156788,39,11643751452.882473,2,45.732025003463804,27.360826407452663,191,Cloud Servers,909575
Japan,2016,Biotechnology,38.619333362580605,54897173848.19067,5338,1941,140448322940.05682,434,1877387578.5729573,15,72.50188814569151,78.08160074367078,187,Semiconductors,628629
China,2009,AI,5.873956734863851,42789684218.37082,3588,1849,197136209141.41998,462,27410211602.79691,11,91.62218643790739,19.926202227452016,62,Cloud Servers,877082
China,2004,Semiconductor,24.726180836188377,27299531489.327118,3794,1724,99917467535.53,464,37978527278.69726,19,94.57948209464429,49.161924844551294,141,Cloud Servers,351149
China,2010,Biotechnology,17.31929534948365,48519194163.22063,7726,657,70775732060.52322,71,12958819490.011156,1,79.27147990507996,54.23505292869581,112,Cloud Servers,695604
China,2004,AI,16.067913094268146,2211269691.5145335,7057,1296,62220146890.99887,139,35680048695.37833,5,92.89623306798308,57.40693227853595,172,Cloud Servers,982137
Japan,2014,Telecommunications,48.52570687842946,62522263776.97039,2020,372,176951179808.23444,296,40064404718.481476,2,87.84942069423809,81.33577391811978,75,Cloud Servers,415533
China,2007,Cloud Computing,36.3757561873548,57127566997.57706,9217,1504,118563184810.80917,295,22597159188.465023,14,70.89133164937246,53.91133449603265,111,5G Equipment,249207
China,2019,Biotechnology,20.174232834619318,27325431599.901875,9849,782,156154596318.52063,267,7646709618.155972,10,72.48813003110027,75.91590985921341,183,Cloud Servers,560786
China,2018,Semiconductor,38.690667655056785,18914809549.16697,3073,864,186041557518.86252,65,22569750484.672234,15,99.60899954678497,80.31182946013436,21,5G Equipment,662796
Japan,2014,Cloud Computing,11.730330392855304,63156656369.31137,7494,228,77441467644.81638,223,43151428391.012054,14,59.854357215195314,65.17726883398467,23,Cloud Servers,317207
China,2005,Telecommunications,18.358031997498003,52375593244.63317,2405,406,33866123734.96002,20,524133533.198103,18,84.39627969862553,10.924230182778896,74,AI Chips,295074
Japan,2001,AI,18.21831565481355,96657639659.2046,6177,107,78545614002.73871,354,27691998575.767235,19,55.25661047264147,48.196819577568846,181,Cloud Servers,389837
China,2022,Semiconductor,48.44722706596877,77277768770.18973,9940,1902,46751248983.5779,160,3100296119.178442,15,46.72804896160713,23.752152238383715,118,5G Equipment,493908
Japan,2001,Semiconductor,28.715325667913692,23393077893.437687,7923,1149,192123930378.12173,421,19696488174.78429,19,82.64010661689937,58.73484618250718,162,Robots,357302
Japan,2014,Software,29.276372304989323,95774162797.19214,3910,1645,117589403258.13269,333,32006978958.589413,4,54.4601049296865,67.1093968963025,104,AI Chips,454342
Japan,2016,Telecommunications,35.10656898463336,38935469000.55722,7770,542,170209256431.06573,417,23223470929.924324,2,67.30161407190305,88.46112808100247,106,Cloud Servers,194116
China,2023,Cloud Computing,34.41979212318603,96292731479.57782,2273,636,192595820887.36417,395,6421238125.98635,15,43.68276736352941,13.93763534643849,122,Semiconductors,520130
China,2020,Telecommunications,45.24217718817656,65543746999.544365,2962,1923,184066202985.82626,182,20539909748.98676,16,85.57642239117847,55.90757409566492,189,Robots,185159
China,2013,Semiconductor,21.023158170019013,60530701206.51972,293,457,119457735906.23917,197,34183707524.31454,14,84.36319365332855,36.39859560249242,149,5G Equipment,53372
China,2014,Robotics,34.514891212698195,66994680144.9081,730,1977,175214243389.87695,494,6225743556.612156,19,44.43831322256149,22.93254723193245,37,Cloud Servers,575661
China,2011,Cloud Computing,8.398530460621316,50520199037.25172,4312,280,32202340556.154,122,41577930490.65993,15,47.160175923784195,26.787629119501943,191,Semiconductors,830004
Japan,2023,Biotechnology,35.910344371109076,25466715372.842953,3665,1290,191875490060.00064,494,25929274569.833286,6,71.85878973959204,18.18642703779492,20,Semiconductors,994370
China,2023,Telecommunications,42.47070573911244,19341863280.024986,1805,1188,79470830813.64537,292,21061436257.293205,6,92.90062525264304,80.32305558414753,80,Robots,761963
Japan,2001,Biotechnology,22.630545039754743,48684379108.80285,5704,314,138863898555.90195,216,39217269547.70452,5,90.52812105412437,32.46020602590599,195,5G Equipment,682577
China,2012,Semiconductor,17.30229667517171,4443148913.992455,7558,1974,115055747690.32419,265,7556898791.127163,16,43.49556450434094,40.6836963435395,139,Semiconductors,212035
China,2002,Software,24.620519850353073,63618489775.86084,261,1924,134577861668.07523,423,3544674441.0133133,18,82.06263044411074,80.3092467279369,111,5G Equipment,105946
China,2005,AI,27.28776816696508,45866175265.927345,2791,1289,175003823822.92276,476,46123056032.05073,15,44.914649898600445,15.849370039566999,56,Semiconductors,321828
Japan,2015,Semiconductor,42.692994494992895,86804289729.28905,5899,1309,26041161865.786907,247,11383749370.553108,6,42.81833788098273,31.676437916532237,109,Cloud Servers,636074
China,2007,Robotics,37.18231851156704,28865496875.335087,2728,446,32532375953.172768,97,40675729330.761444,19,98.10635534610566,16.225069248317403,185,AI Chips,591659
Japan,2012,Semiconductor,13.034622702075168,6376807844.295752,4579,1974,12176455085.110907,313,31476897050.700798,3,42.94685404832573,79.7297722064904,194,5G Equipment,712146
Japan,2023,AI,30.893301519955564,65361772779.76471,9569,783,198977436380.96365,475,12404220302.057884,2,70.08436725522462,83.463772706272,132,Semiconductors,457091
Japan,2022,Robotics,6.610958289450583,1240145629.5489714,6254,1492,168942508841.31537,179,537400024.2212453,6,69.97691343312374,39.22796934514497,141,Robots,3897
Japan,2003,Software,34.813172770084336,12878174122.05853,1728,584,16524292194.37897,306,7520336553.017018,9,57.8926927767598,59.89268079392912,10,Cloud Servers,47851
China,2010,AI,5.5341521061080705,78491699546.27295,7342,308,42684795288.34186,471,36773592159.02027,5,47.18144594910833,78.58099344183834,14,Robots,420621
China,2021,Biotechnology,49.59257534897938,84054962332.522,5401,75,159024696696.68625,181,28973383607.428078,14,72.9340215588235,37.12901851649409,164,AI Chips,273399
Japan,2002,Software,25.981938775345547,92178261104.76538,2885,1692,33220045083.9093,308,29502560412.40567,16,64.98987761287894,86.80506472813703,117,Cloud Servers,128345
China,2015,AI,9.847053925172212,20389315990.162804,7877,647,51307353611.38652,71,44728980342.48303,19,95.15323849029181,28.56864378876481,59,Cloud Servers,663008
China,2006,Cloud Computing,14.80416007510021,9135240633.815323,9049,1596,17860001192.391453,347,12049587117.206322,3,90.84558357578331,82.03041400505639,51,AI Chips,557283
Japan,2017,AI,11.610991879643512,15181946258.135,4569,194,102902802979.25311,495,49380420398.383545,9,50.927885275251434,15.550022394503875,56,AI Chips,805976
Japan,2019,Biotechnology,15.935981883985757,27568305789.232803,3191,1393,180372119171.91446,333,40873260255.182304,5,45.45417013615451,54.29292521776502,108,AI Chips,838127
China,2004,Cloud Computing,48.533873577065236,83487995389.16605,4360,1234,122364311372.36047,465,41457494946.65175,8,65.24557340683286,70.86362622120748,78,Robots,23112
China,2004,Biotechnology,21.757900966870395,13480012803.704575,5427,1166,95736530627.14664,21,13412700610.20649,13,46.21039238985014,51.29719329259365,91,Semiconductors,517388
Japan,2015,AI,23.13593075681208,36443272294.35296,7644,1944,104586439414.1291,86,4849885057.51845,2,81.09580005142016,61.61672057917764,26,Robots,972157
China,2004,Cloud Computing,39.46501735346897,12334956082.265785,1287,452,69986174656.83595,347,9351498255.069115,3,42.755986967864764,77.91849544600923,114,Semiconductors,971808
Japan,2011,Semiconductor,40.33931502747984,51283088416.70506,4232,136,154627884336.07883,18,18209911417.23176,4,49.21556909462186,52.38509195092355,61,Cloud Servers,633600
China,2022,Robotics,25.313351915119927,68814734927.9572,1814,1707,79720091205.62865,473,46031567213.21492,12,50.11105307057362,37.65038717339357,25,Robots,371077
Japan,2023,Telecommunications,16.389813697620617,10363611800.213478,9626,1207,175632655820.2522,336,45364521749.00845,19,99.71123695263503,22.8588967695665,10,Robots,8845
China,2019,Cloud Computing,47.302916335726124,73898599944.00508,7746,219,152288843592.46405,348,40338864713.00616,14,43.52934481549609,59.259068173633764,13,5G Equipment,135933
Japan,2011,Telecommunications,14.215582246433394,27535922504.27189,4389,586,147006385662.1901,430,20940038139.498814,6,86.2611665273214,49.38789063058703,173,AI Chips,653696
Japan,2021,Semiconductor,16.182583507829868,19875448148.734013,242,1154,163776919477.4401,485,19261258369.11636,2,85.71723568313553,88.24026587811011,97,AI Chips,230557
China,2013,Semiconductor,17.97018054135254,9986352402.48573,1493,896,100763796886.5112,449,38506072555.711525,6,95.8301957693385,34.22019387537213,84,AI Chips,955057
Japan,2007,Biotechnology,26.518522182361703,86113128718.57364,2207,1610,189711289884.5159,416,32540648251.278942,16,76.3317830966192,54.12110794960556,174,Cloud Servers,704379
China,2014,Biotechnology,41.195195235091006,68751070346.2857,5524,1039,93122247639.15509,328,2482963832.649795,8,57.04239075428962,14.501596816163813,164,Cloud Servers,809280
China,2022,Semiconductor,22.736497489948498,15821356696.235527,8153,715,51141651875.69212,176,38909656802.844795,15,97.26363169147271,12.460892501462562,168,5G Equipment,948026
Japan,2012,AI,26.149337640377173,62015635126.007935,6692,275,148952479253.2124,347,6451653504.687664,18,46.40580469664576,31.025059775634958,45,Robots,730646
Japan,2015,AI,43.450228793890076,71167659988.18524,6034,905,118562642591.60583,475,25830261708.588886,2,57.04062190437715,22.12288090637263,110,AI Chips,191834
China,2023,Biotechnology,35.212907455712106,25017858024.99076,1992,1646,24675249107.469048,418,13909906623.315191,16,47.37153593145201,44.75069348700671,107,Semiconductors,820727
China,2014,Robotics,49.152129072839244,42050080296.997795,9761,1049,92824766158.116,71,39573953820.170425,17,60.823004387593585,56.01118330486286,174,Robots,246884
China,2019,Cloud Computing,19.582385403667672,67759204733.131546,2825,1090,7364896153.736882,346,11587046444.85878,4,71.58106453693195,40.53377473138741,17,Semiconductors,951546
Japan,2023,Cloud Computing,10.884326492149254,76116049510.21541,8901,1244,198831541364.0806,102,13702695419.482492,8,71.86822791837835,25.882251478731604,162,Cloud Servers,111859
Japan,2021,Cloud Computing,26.82122387995135,19958840218.113068,7795,587,61273169317.05212,17,11011105016.674604,14,87.94876694227,35.41998948461742,82,AI Chips,675153
China,2023,Software,34.72968964379807,98029821732.85226,7974,1356,170698868931.72745,302,33198302045.305634,11,96.77841230397937,77.3702477626766,118,5G Equipment,348540
Japan,2008,Robotics,14.20448644376867,91924309510.43062,6362,1139,196266338530.6643,101,31266341106.27027,1,86.84236955692498,71.27794811300842,124,Robots,736526
China,2001,Semiconductor,35.15326565775901,1635931173.1154962,6809,1817,2417977038.2210855,99,643149654.7311152,2,83.3520565310427,19.58552146096043,85,AI Chips,353801
China,2016,Biotechnology,35.32826707961536,98120892834.23854,9073,1704,43538931019.29923,123,30625529452.688507,9,61.43782621693579,25.622936226732467,186,AI Chips,738267
China,2012,Robotics,31.992427991033725,46023154079.35752,7369,1535,60826143531.99785,330,9469138585.268082,3,58.2508595065156,23.171960505528205,131,Cloud Servers,20052
Japan,2019,Semiconductor,14.115395685500246,68643356721.45301,6527,770,52316956445.56667,223,18410807659.30109,14,40.55053329102278,44.06657146668927,40,5G Equipment,927284
Japan,2002,Biotechnology,42.260596474482526,81220013826.46559,2396,1287,166903431832.44287,206,40193028269.72831,14,80.21461773374072,42.97726831749512,28,Cloud Servers,529837
Japan,2014,Cloud Computing,23.19214740671942,97654636632.12543,2818,1488,107162341831.13681,37,3684798889.352134,12,66.81547684432249,28.656562586672926,119,AI Chips,466423
China,2011,Telecommunications,13.415992376355849,61627716409.68117,8449,809,128917852824.01678,76,49544967713.217735,6,65.7778554224232,20.37081863096148,118,5G Equipment,484181
Japan,2003,Software,36.2465504362478,46293835492.62838,5707,779,121414257183.80608,202,4069798897.659996,5,59.47724325261327,39.76824400045604,145,5G Equipment,665610
Japan,2012,Robotics,8.366273748717228,21457005994.91962,7023,1556,176997230745.08334,29,32504431220.561314,7,98.63694833649615,72.1904303584665,124,5G Equipment,82501
China,2014,Software,37.246933984255406,26426201147.173523,593,1950,149210119242.5929,352,48062953706.62093,2,80.26643129924473,54.29765664461457,29,AI Chips,214309
China,2021,Robotics,8.512103123881221,93157210392.53255,5709,1389,182799845239.7203,368,45290223796.27898,3,74.60789611418836,80.22487559506524,5,Semiconductors,420029
Japan,2003,Telecommunications,29.06979553349543,13407288732.741093,4495,371,40307104343.405716,149,39512420838.06243,9,86.5579138699276,79.31129673738835,96,AI Chips,372008
China,2000,Semiconductor,21.173067416065173,44816400728.23989,9240,1952,66622343766.220955,431,12582822796.435095,6,50.29814461896599,26.619017991517822,24,5G Equipment,232611
Japan,2018,Robotics,28.61547549904292,51156322022.583046,4648,1250,89787645573.81767,271,44602593882.65692,2,72.45346999017744,29.40112768933836,89,Cloud Servers,678408
Japan,2011,Robotics,27.602057964444263,48726497977.231926,6716,313,32354302678.62745,145,29977842531.24602,19,53.46893239372327,80.67671282533132,133,AI Chips,177276
Japan,2017,Telecommunications,46.73502570767303,17581855234.002197,8420,653,99916450707.8885,410,36222852629.94085,6,77.25361493510025,52.74762244614119,78,Cloud Servers,978114
Japan,2021,Cloud Computing,30.240843116501388,84182834813.1262,2059,1273,120200975692.00418,45,37788587524.22451,1,72.99131086205537,66.66058697443128,140,Semiconductors,794320
China,2021,Semiconductor,28.049548492264723,68082227556.73461,7528,1753,162756699297.18588,472,22134998819.917038,16,78.01636727587945,13.563743624416178,105,Semiconductors,416242
Japan,2017,Software,34.780346831587764,24996841354.88321,3150,887,78888168125.3412,36,49701339258.337944,19,50.57059095818675,59.9702635728562,103,5G Equipment,732464
Japan,2002,Robotics,26.205439255156783,33786453923.674225,2826,189,61295844990.97243,213,670691208.5702131,19,55.46376390277647,74.73906767769327,164,5G Equipment,858622
Japan,2005,Biotechnology,10.592591309535845,98553254632.7428,7027,1235,39940492252.75562,207,31104321043.81996,1,84.64424180575337,10.285250353208877,5,Cloud Servers,144329
Japan,2014,Software,29.800960360713383,66505062879.40935,5237,1403,175576094599.57202,11,43422312465.93657,14,66.06748649067092,86.85028378670025,135,5G Equipment,253663
China,2020,Cloud Computing,42.03815993229467,73635733338.0764,4584,381,98524260056.3764,478,38829485536.05009,3,43.95923228078684,48.98380843529468,74,Robots,253823
Japan,2010,AI,25.774144906827402,23521435302.531765,5541,862,64409262252.3993,433,4863294716.200962,19,90.89197680108185,42.20831026695695,134,Cloud Servers,956287
China,2004,Telecommunications,39.12631013831956,14669111905.654957,4430,1780,86435512196.32956,21,42963356363.2145,2,91.9908630506189,61.044908502332916,105,AI Chips,372468
China,2009,Robotics,48.9994877689833,77542130665.61179,9896,541,18239363104.20049,45,43059058373.1817,4,66.447116147321,43.460338815837446,57,Cloud Servers,764164
China,2004,Biotechnology,27.472550194924498,96793137554.55164,9015,1448,88135616341.19806,411,2889623026.3304563,9,62.36707145611819,15.13605079014324,16,Robots,993329
China,2013,Software,17.83695927975014,91698651239.69958,4124,152,108861885529.55344,359,251573604.94060346,10,53.20028138734948,84.76635828611276,15,5G Equipment,147838
